estacion,date,rain,x,y,modif
35025110-LA LIBERTAD_AUT,2012-05-10,37.1,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-06-10,10.2,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-07-10,48.8,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-08-10,0.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-09-10,0.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-10-10,0.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-11-10,0.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-12-10,42.2,-73.467917,4.057361,SI
35025110-LA LIBERTAD_AUT,2012-10-13,0.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-10-14,12.6,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-10-15,6.4,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-10-16,3.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-10-17,2.7,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-10-18,16.7,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-10-19,0.5,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-10-20,10.9,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-10-21,21.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-10-22,0.2,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-10-23,13.3,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-10-24,0.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-10-25,1.3,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-10-26,0.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-10-27,0.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-10-28,0.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-10-29,76.1,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-10-30,0.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-10-31,0.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-01-11,0.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-02-11,2.2,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-03-11,2.2,-73.467917,4.057361,SI
35025110-LA LIBERTAD_AUT,2012-04-11,50.6,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-05-11,2.7,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-06-11,0.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-07-11,0.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-08-11,22.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-09-11,0.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-10-11,0.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-11-11,0.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-12-11,20.4,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-11-13,1.8,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-11-14,1.1,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-11-15,2.7,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-11-16,34.6,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-11-17,34.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-11-18,6.5,-73.467917,4.057361,NO
