estacion,date,tmax,tmin,rhum,esol,x,y,modif
35025110-LA LIBERTAD_AUT,2012-03-07,28.4,19.0,89.7,407.57,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-04-07,29.2,20.4,86.75,393.13,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-05-07,29.8,22.0,88.03,434.57,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-06-07,27.0,21.6,94.21,293.47,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-07-07,29.4,21.4,88.06,298.55,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-08-07,31.4,22.0,81.53,350.14,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-09-07,31.4,22.8,83.93,456.94,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-10-07,29.5,22.0,87.5,178.16,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-11-07,27.6,20.72,87.89,249.27,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-12-07,30.6,22.2,86.4,294.42,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-07-13,29.4,23.4,84.0,186.16,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-07-14,30.4,22.0,84.86,303.44,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-07-15,29.56,20.6,88.35,434.44,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-07-16,29.8,20.0,79.94,327.4,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-07-17,27.0,20.81,93.78,395.44,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-07-18,29.8,22.2,88.99,302.47,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-07-19,27.6,22.2,94.04,173.53,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-07-20,29.6,20.0,87.5,518.93,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-07-21,28.6,21.8,86.59,524.25,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-07-22,30.6,20.4,83.58,395.27,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-07-23,28.6,20.4,88.12,346.82,-73.467917,4.057361,SI
35025110-LA LIBERTAD_AUT,2012-07-24,26.8,21.97,95.35,394.51,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-07-25,32.4,21.6,82.86,313.92,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-07-26,30.2,21.0,84.99,315.06,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-07-27,27.8,23.0,90.36,340.34,-73.467917,4.057361,NO
