Date	Rain	TMAX	TMIN	RHUM	ESOL	Mes	ANIO	Modif	X	Y	ESTACIO	NOMBRE_ESTACION
06/07/2012	0.0	34.7	24.1	71.2	372.4	julio	2012	NO	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
07/07/2012	0.0	37.6	24.9	65.1	507.7	julio	2012	NO	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
08/07/2012	0.0	37.1	25.1	57.7	434.2	julio	2012	NO	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
09/07/2012	0.0	38.0	23.3	55.5	502.8	julio	2012	NO	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
10/07/2012	0.0	36.4	24.9	63.0	353.3	julio	2012	NO	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
11/07/2012	0.0	35.4	24.6	63.7	435.6	julio	2012	NO	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
12/07/2012	1.2	35.0	23.4	72.0	463.1	julio	2012	NO	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
13/07/2012	8.2	31.4	22.1	80.4	313.3	julio	2012	NO	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
14/07/2012	0.0	33.3	22.9	72.2	428.8	julio	2012	NO	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
15/07/2012	0.0	28.1	22.3	78.4	226.3	julio	2012	NO	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
16/07/2012	0.0	36.0	20.8	64.9	554.7	julio	2012	NO	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
17/07/2012	1.4	37.3	22.7	59.2	557.1	julio	2012	NO	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
18/07/2012	0.2	37.7	24.3	49.8	577.9	julio	2012	NO	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
19/07/2012	0.0	37.0	27.1	42.8	526.8	julio	2012	NO	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
20/07/2012	0.0	38.2	26.7	55.8	514.8	julio	2012	NO	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
21/07/2012	0.0	36.4	23.4	56.6	488.9	julio	2012	NO	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
22/07/2012	1.0	36.5	24.1	53.5	517.7	julio	2012	NO	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
23/07/2012	12.5	35.1	24.8	52.8	264.5	julio	2012	NO	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
